"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"Terex","TEX","-1.73%","-8.15%","-6.45%","-16.32%","2.31%","89.44%"
"Texas Roadhouse","TXRH","0.27%","-6.72%","-5.21%","20.16%","30.81%","59.57%"
"The Cheesecake","CAKE","-0.92%","-16.14%","-12.33%","3.13%","10.10%","-14.58%"
"The Hain Celestial","HAIN","3.48%","3.08%","-2.77%","-30.55%","-31.84%","-58.03%"
"The Hanover Insurance","THG","1.34%","1.11%","4.39%","16.55%","29.00%","54.53%"
"The Ultimate Software","ULTI","-0.85%","0.09%","7.11%","29.68%","44.21%","51.62%"
"The Wendy’s Co","WEN","0.90%","0.54%","-2.78%","2.31%","7.01%","66.17%"
"Thor Industries","THO","3.27%","4.66%","-0.01%","-35.51%","-7.15%","72.95%"
"Timken","TKR","-0.32%","2.42%","7.02%","-5.39%","4.03%","41.12%"
"Toll Brothers","TOL","0.57%","-0.17%","-5.19%","-26.95%","-11.70%","-6.25%"
"Tootsie Roll Industries","TR","0.85%","0.34%","-8.19%","-15.96%","-17.32%","-2.30%"
"Toro","TTC","0.73%","-0.05%","-1.27%","-8.49%","-17.52%","73.92%"
"Treehouse Foods","THS","2.62%","6.21%","-4.53%","3.11%","-31.53%","-37.79%"
"TRI Pointe Homes","TPH","-0.70%","-1.74%","-14.73%","-21.15%","3.74%","-1.60%"
"Trimble","TRMB","-0.30%","14.98%","22.93%","-0.27%","7.36%","111.31%"
"Trinity Industries","TRN","-0.03%","2.44%","10.09%","1.98%","35.36%","38.06%"
"Triumph","TGI","-1.79%","-3.27%","0.79%","-29.41%","-31.91%","-64.68%"
"Trustmark","TRMK","-1.47%","-1.36%","5.48%","9.38%","9.94%","42.30%"
"Tupperware Brands","TUP","1.15%","4.57%","-10.88%","-40.94%","-38.20%","-37.23%"
"Tyler Technologies","TYL","-0.60%","-2.04%","0.85%","28.04%","32.93%","60.31%"
"UGI","UGI","0.78%","0.49%","-0.81%","12.55%","8.97%","50.50%"
"Umpquas","UMPQ","-1.48%","-2.07%","-6.32%","2.60%","14.73%","20.16%"
"United Natural Foods","UNFI","2.22%","4.61%","-20.28%","-30.97%","-8.58%","-25.64%"
"United States Steel","X","0.53%","-12.70%","-7.66%","-8.21%","37.15%","62.56%"
"United Therapeutics","UTHR","3.11%","3.33%","8.65%","-14.11%","-7.12%","-23.70%"
"Uniti Group","UNIT","2.35%","7.85%","-13.36%","2.75%","-16.30%","-13.90%"
"Urban Edge Properties","UE","1.11%","4.77%","-1.55%","-10.36%","-10.25%","5.64%"
"Valley National","VLY","-2.02%","-1.69%","-4.82%","3.92%","-2.10%","15.79%"
"Valmont Industries","VMI","0.79%","2.88%","-7.92%","-14.86%","-6.74%","25.94%"
"Vectren","VVC","0.34%","0.11%","0.03%","10.00%","18.21%","70.25%"
"Verifone","PAY","0.00%","-0.13%","0.31%","29.36%","20.64%","-30.49%"
"Versum Materials","VSM","0.36%","2.32%","4.93%","3.57%","9.77%","-"
"ViaSat","VSAT","-0.19%","-0.07%","4.33%","-6.92%","5.31%","11.63%"
"Vishay Intertechnology","VSH","-0.40%","-1.78%","-1.39%","19.76%","40.40%","129.03%"
"Vista Outdoor Inc","VSTO","0.57%","1.52%","-1.30%","9.75%","-28.96%","-66.81%"
"Waddell&Reed Financial","WDR","0.80%","7.30%","6.29%","-9.22%","3.52%","-54.68%"
"Washington Federal","WAFD","-1.61%","-0.44%","1.20%","-1.75%","1.05%","43.44%"
"Washington Prime","WPG","1.03%","3.56%","-5.54%","10.25%","-13.74%","-40.84%"
"Watsco","WSO","0.00%","-2.20%","-5.15%","-0.74%","11.05%","31.08%"
"Webster Financial","WBS","0.86%","-1.53%","2.64%","17.11%","28.94%","67.14%"
"Weingarten","WRI","0.82%","4.69%","-0.48%","-6.21%","-5.60%","-11.51%"
"WellCare Health Plans","WCG","-1.02%","7.79%","8.66%","37.06%","59.14%","209.15%"
"Werner","WERN","-4.10%","-0.28%","-3.59%","-6.21%","20.83%","25.48%"
"West Pharmaceutical Services","WST","0.76%","4.66%","15.43%","16.30%","32.81%","89.04%"
"Westinghouse Air Brake","WAB","1.04%","4.49%","13.45%","39.04%","51.69%","13.42%"
"Wex","WEX","-0.73%","-2.65%","-1.93%","32.80%","79.64%","83.99%"
"Williams-Sonoma","WSM","0.33%","-0.48%","-5.75%","11.95%","26.43%","-32.60%"
"WisdomTree","WETF","1.50%","-13.50%","-15.21%","-35.14%","-17.69%","-67.63%"
"Woodward","WWD","-0.84%","-5.29%","1.36%","2.23%","12.04%","63.05%"
"World Fuel Services","INT","-2.72%","1.63%","36.43%","-2.31%","-19.27%","-32.07%"
"Worthington Industries","WOR","0.21%","0.69%","5.05%","6.17%","-6.57%","70.92%"
"WPX Energy","WPX","-4.30%","0.92%","0.97%","32.76%","79.44%","153.12%"
"WR Berkley","WRB","0.28%","0.77%","5.03%","6.06%","10.72%","35.31%"
"Zebra","ZBRA","0.14%","1.22%","-4.05%","37.03%","47.86%","34.33%"
