"Name","Symbol","Daily","1 Week","1 Month","YTD","1 Year","3 Years"
"Lendingtree","TREE","-2.50%","2.31%","11.16%","-28.30%","6.48%","106.95%"
"Lexington","LXP","1.03%","3.15%","-1.23%","-8.39%","-13.08%","2.08%"
"LGI Homes","LGIH","-1.66%","-3.88%","-14.87%","-32.07%","7.44%","119.60%"
"LHC Group","LHCG","-0.79%","7.27%","5.49%","51.58%","52.57%","117.17%"
"Ligand","LGND","0.37%","0.88%","6.24%","64.35%","84.37%","102.28%"
"Lindsay","LNN","-1.60%","-1.06%","-9.60%","2.56%","0.50%","7.42%"
"Liquidity Services","LQDT","-5.44%","-0.71%","0.00%","43.30%","13.93%","-23.20%"
"Lithia Motors","LAD","-0.14%","4.97%","-11.00%","-24.08%","-15.96%","-28.01%"
"Littelfuse","LFUS","0.01%","-0.85%","-3.35%","11.03%","20.44%","140.62%"
"LivePerson","LPSN","-2.28%","0.86%","7.29%","104.78%","80.46%","153.77%"
"LogMeIn","LOGM","0.54%","7.00%","-20.97%","-27.25%","-26.09%","14.20%"
"Lsb Industries","LXU","0.74%","5.62%","20.25%","-22.72%","-2.03%","-80.82%"
"LSC Communications","LKSD","-1.50%","-16.20%","-27.03%","-21.78%","-30.90%","-"
"LTC Properties","LTC","1.31%","3.37%","-2.58%","-2.16%","-16.12%","-2.76%"
"Lumber Liquidators","LL","1.51%","-18.32%","-23.48%","-37.91%","-46.59%","46.87%"
"Lumentum Holdings Inc","LITE","2.52%","3.10%","-2.58%","12.17%","-6.80%","166.78%"
"Luminex","LMNX","-0.43%","4.19%","15.64%","75.63%","72.57%","71.20%"
"Lydall","LDL","-3.45%","-9.98%","-8.97%","-20.00%","-17.98%","40.39%"
"M/I Homes","MHO","0.00%","0.86%","-3.69%","-24.85%","0.15%","8.20%"
"Magellan Health","MGLN","-1.12%","4.24%","-23.46%","-22.27%","-0.13%","23.66%"
"Maiden Holdings","MHLD","-2.91%","-2.34%","5.03%","26.52%","-24.77%","-49.36%"
"ManTech","MANT","-1.65%","6.92%","12.35%","23.43%","48.56%","110.00%"
"Marcus","MCS","-1.58%","2.19%","13.16%","36.75%","38.26%","86.35%"
"MarineMax","HZO","-0.52%","0.53%","-5.00%","0.53%","22.19%","10.08%"
"Marriot Vacations Worldwide","VAC","-2.10%","0.55%","4.13%","-11.41%","3.94%","43.50%"
"Marten Transport","MRTN","-0.67%","5.24%","-7.14%","8.87%","35.17%","87.13%"
"Masimo","MASI","0.00%","10.51%","9.94%","27.67%","26.93%","148.25%"
"Materion","MTRN","-0.39%","3.59%","14.71%","30.76%","62.95%","103.29%"
"Matrix","MTRX","0.49%","3.82%","7.37%","14.61%","92.45%","6.03%"
"Matson","MATX","-1.30%","1.02%","-8.16%","19.54%","17.84%","-17.12%"
"Matthews","MATW","-1.98%","2.37%","-14.01%","-1.80%","-21.26%","-3.53%"
"MDC","MDC","-0.33%","4.84%","-4.74%","-4.86%","-5.22%","12.29%"
"Medidata","MDSO","0.09%","2.13%","-8.21%","20.12%","-2.05%","45.07%"
"MEDIFAST","MED","21.82%","22.04%","28.00%","205.39%","402.81%","591.50%"
"Mercury","MRCY","-4.35%","17.03%","21.44%","-7.01%","7.96%","210.87%"
"Meridian","VIVO","0.00%","-0.65%","-6.12%","9.64%","12.04%","-16.85%"
"Merit","MMSI","0.45%","3.15%","4.99%","29.05%","34.89%","119.14%"
"Meritage","MTH","-0.35%","1.18%","-5.83%","-16.41%","-2.39%","0.63%"
"Methode Electronics","MEI","-0.38%","1.03%","-3.58%","-2.62%","0.26%","47.75%"
"MicroStrategy","MSTR","-1.22%","4.44%","0.63%","2.73%","-0.62%","-37.62%"
"MiMedx","MDXG","-1.42%","0.24%","10.64%","-67.01%","-71.66%","-59.85%"
"MKS Instruments","MKSI","-0.05%","-2.43%","-1.72%","-0.05%","22.27%","165.91%"
"Mobile Mini","MINI","-0.69%","3.36%","-12.14%","24.78%","34.95%","22.37%"
"Momenta","MNTA","-0.52%","-1.73%","29.91%","103.94%","73.48%","23.05%"
"Monarch","MCRI","0.67%","1.78%","6.99%","6.96%","43.23%","154.86%"
"Monotype","TYPE","0.25%","-3.77%","-2.39%","-15.35%","7.94%","-16.70%"
"Monro Muffler Brake","MNRO","0.86%","9.54%","15.98%","23.00%","47.78%","5.74%"
"Moog","MOGa","0.31%","-0.12%","-4.43%","-14.80%","-1.77%","12.34%"
"Motorcar Parts","MPAA","1.52%","-0.42%","5.98%","-14.21%","-18.42%","-27.42%"
"Movado","MOV","-0.20%","1.74%","1.22%","54.19%","95.86%","98.60%"
"MTS Systems","MTSC","-0.92%","1.42%","-0.37%","-0.19%","3.98%","-13.11%"
"Mueller Industries","MLI","-0.31%","1.78%","7.06%","-7.99%","4.59%","1.31%"
"Multi-Color","LABL","-0.31%","-0.69%","-4.08%","-13.56%","-19.78%","-0.17%"
"Myers Industries","MYE","0.00%","22.07%","12.63%","12.05%","36.56%","47.93%"
"MYR Group","MYRG","-10.81%","-5.24%","-5.95%","-1.76%","33.51%","21.24%"
"Nanometrics","NANO","2.72%","14.58%","18.20%","69.62%","69.28%","209.22%"
"National Presto Industries","NPK","-0.36%","6.89%","1.49%","26.40%","12.03%","56.27%"
"Natus","BABY","-1.62%","5.35%","2.39%","-4.71%","4.30%","-21.31%"
"Nautilus","NLS","1.44%","1.08%","-8.74%","5.62%","-15.32%","-17.11%"
"Navigant","NCI","-6.02%","9.81%","2.33%","19.94%","45.41%","49.04%"
"NBT Bancorp","NBTB","-1.93%","-3.39%","1.82%","7.80%","11.12%","45.05%"
"Neenah Paper","NP","0.51%","2.35%","3.71%","-1.38%","15.35%","48.80%"
"Nektar","NKTR","-0.66%","6.75%","13.46%","-9.68%","169.30%","338.54%"
"Neogen","NEOG","-1.53%","0.60%","-0.86%","32.19%","62.69%","40.46%"
"NETGEAR","NTGR","1.86%","-5.13%","-3.10%","11.83%","41.44%","96.12%"
"Newpark Resources","NR","-4.69%","-5.14%","-4.69%","18.02%","20.83%","46.04%"
"NIC","EGOV","-3.92%","-0.62%","-3.45%","-3.92%","-2.74%","-9.48%"
"Northern Oil&Gas","NOG","2.22%","13.54%","14.95%","80.00%","207.50%","-22.96%"
"Northfield Bancorp","NFBK","-1.62%","0.99%","-3.59%","-4.16%","-2.79%","7.41%"
"Northwest Bancshares","NWBI","-0.94%","-0.66%","0.96%","7.17%","11.37%","41.18%"
"Northwest Natural Gas","NWN","-0.31%","-0.08%","-2.05%","8.21%","-0.69%","47.91%"
"NutriSystem","NTRI","10.41%","10.69%","9.85%","-17.30%","-18.54%","40.69%"
"OFG Bancorp","OFG","-3.80%","-0.00%","13.84%","75.00%","60.49%","98.43%"
"Old National Bancorp","ONB","-1.27%","-0.41%","2.37%","11.17%","17.22%","30.82%"
"Ollies Bargain Outlet Holdings Inc","OLLI","-0.86%","-1.71%","-5.49%","29.30%","51.82%","244.42%"
"Olympic Steel","ZEUS","1.86%","0.72%","5.36%","4.28%","25.34%","85.98%"
"Omnicell","OMCL","1.52%","0.25%","9.09%","23.71%","17.53%","61.68%"
"Onespan","OSPN","-1.42%","-6.74%","-15.61%","24.46%","31.06%","-11.78%"
"Opus Bank","OPB","-1.22%","1.25%","-5.04%","3.48%","17.95%","-27.75%"
"Orion Group","ORN","2.52%","2.52%","13.06%","19.41%","48.18%","30.77%"
"Oritani","ORIT","-0.78%","-3.16%","-3.16%","-2.87%","-3.45%","3.91%"
"OSI Systems","OSIS","-0.33%","2.35%","0.31%","22.57%","-0.49%","14.83%"
"Oxford Industries","OXM","-1.53%","-0.92%","8.51%","21.41%","47.08%","7.98%"
"Papa John's","PZZA","-0.17%","-1.92%","-17.18%","-24.63%","-45.05%","-40.81%"
"Park Electrochemical","PKE","-1.89%","0.36%","-5.10%","13.64%","22.36%","26.59%"
"Patrick","PATK","1.62%","0.00%","-0.25%","-14.18%","21.88%","59.36%"
"PDC Energy","PDCE","-1.48%","2.12%","4.69%","22.51%","36.49%","37.50%"
"Pennsylvania RE","PEI","0.00%","4.43%","-7.02%","-10.85%","-10.09%","-50.33%"
"Perficient","PRFT","-0.71%","-0.71%","-0.56%","38.91%","53.57%","58.81%"
"Perry Ellis","PERY","4.71%","4.19%","2.46%","16.21%","51.09%","24.73%"
"PetMed Express","PETS","1.22%","7.68%","-12.42%","-16.15%","-19.85%","126.01%"
"PGT Innovations","PGTI","-1.02%","1.68%","9.77%","43.32%","80.90%","61.21%"
"Phibro","PAHC","2.75%","6.89%","6.89%","50.45%","29.40%","28.21%"
"Pinnacle","PNFP","-0.78%","1.04%","1.36%","-4.60%","-1.17%","20.36%"
"Pioneer Energy Services","PES","0.00%","-34.02%","-41.28%","4.92%","42.22%","-5.33%"
"Piper Jaffray","PJC","-2.00%","-1.56%","-0.52%","-11.94%","18.95%","74.08%"
"Plexus","PLXS","-0.18%","2.44%","-2.31%","-0.49%","15.33%","56.81%"
"Powell Industries","POWL","0.60%","4.76%","5.03%","29.04%","10.52%","38.78%"
"Power Integrations","POWI","-1.25%","-0.18%","-6.52%","-3.54%","2.16%","83.86%"
"PRA Group Inc","PRAA","-0.90%","-4.44%","-6.52%","16.57%","-0.00%","-39.17%"
"ProAssurance","PRA","1.46%","3.74%","15.53%","-27.12%","-28.56%","-12.44%"
"Progress","PRGS","-0.21%","-1.83%","-2.34%","-11.89%","19.27%","25.41%"
"Proto Labs","PRLB","0.24%","-1.80%","2.44%","22.14%","70.00%","80.62%"
"Provident","PFS","-1.87%","-3.85%","-10.44%","-6.49%","-2.85%","27.50%"
"PS Business Parks","PSB","1.03%","3.11%","-1.63%","3.50%","-2.57%","69.22%"
"Quaker Chemical","KWR","-1.92%","3.15%","4.93%","10.43%","19.48%","80.07%"
"Quality Systems","QSII","1.24%","5.93%","3.45%","56.63%","31.87%","66.04%"
"Qualys","QLYS","-1.16%","-5.86%","-3.29%","43.47%","84.11%","120.65%"
"Quanex Building Products","NX","0.00%","-1.17%","-9.16%","-27.99%","-21.08%","-15.71%"
"QuinStreet","QNST","-0.55%","5.09%","0.56%","72.43%","295.89%","145.33%"
"Quorum Health","QHC","-0.22%","-4.21%","-9.00%","-27.08%","42.19%","-"
"Rambus","RMBS","-0.71%","-6.42%","-1.42%","-11.88%","-1.88%","-7.39%"
"Raven","RAVN","-0.52%","-1.42%","-3.41%","11.35%","12.01%","105.09%"
"Rayonier Advanced Materials","RYAM","10.22%","14.24%","13.64%","-3.47%","43.15%","57.92%"
"Re Max Holding","RMAX","2.76%","-0.69%","-7.63%","3.61%","-22.21%","28.55%"
"Red Robin Gourmet Burgers","RRGB","1.69%","-21.48%","-22.05%","-33.24%","-32.53%","-59.47%"
"Regis","RGS","-0.51%","1.09%","3.83%","14.78%","68.23%","18.64%"
"Rent-A-Center","RCII","0.20%","0.54%","-0.20%","33.60%","8.64%","-45.72%"
"Repligen","RGEN","0.61%","0.02%","-1.88%","31.12%","14.54%","30.22%"
"Resources Connection","RECN","-0.31%","4.18%","-5.54%","4.85%","21.35%","-0.55%"
"Retail Opportunity","ROIC","1.53%","5.41%","-0.72%","-3.31%","-5.12%","14.14%"
"REX American Resources","REX","0.70%","1.75%","-4.28%","-6.81%","-20.29%","54.83%"
"RLI","RLI","-1.27%","1.12%","11.13%","23.00%","30.37%","37.91%"
"Roadrunner","RRTS","-2.35%","-3.26%","-15.79%","-73.02%","-69.37%","-91.63%"
"Rogers","ROG","0.30%","4.64%","11.18%","-21.23%","7.22%","124.07%"
"RR Donnelley & Sons","RRD","3.10%","-7.93%","-18.86%","-46.34%","-47.14%","-81.88%"
"Rudolph","RTEC","-2.90%","-3.07%","-4.85%","19.04%","31.11%","124.90%"
"Ruth's Hospitality","RUTH","-0.52%","-3.39%","0.53%","31.64%","45.04%","65.60%"
"S&T Bancorp","STBA","-1.25%","-1.73%","-0.45%","11.53%","19.26%","43.74%"
"Sabra","SBRA","2.82%","6.11%","-1.29%","18.49%","-3.68%","-14.43%"
"Safety Insurance","SAFT","-1.12%","3.46%","6.67%","15.30%","28.22%","58.43%"
"Saia","SAIA","-1.11%","3.70%","-4.97%","6.86%","41.44%","71.27%"
"Sanderson Farms","SAFM","2.85%","2.39%","-4.32%","-25.88%","-23.54%","44.32%"
"Sanmina","SANM","-0.51%","-0.17%","-2.17%","-11.06%","-17.90%","38.84%"
"Saul Centers","BFS","0.73%","2.64%","-4.04%","-13.10%","-11.17%","3.87%"
"ScanSource","SCSC","-0.99%","-1.11%","-1.60%","12.01%","2.69%","6.37%"
"Scholastic","SCHL","-0.53%","-0.61%","-11.16%","2.04%","0.84%","-5.43%"
"Schweitzer-Mauduit","SWM","-4.01%","2.37%","-3.66%","-6.59%","7.78%","7.87%"
"Scientific Games","SGMS","-10.75%","-25.92%","-24.57%","-31.19%","-2.49%","168.85%"
"SEACOR","CKH","-1.08%","-4.04%","-7.71%","10.56%","38.97%","-18.86%"
"Select Medical","SEM","-5.18%","-3.36%","7.75%","14.16%","17.49%","39.45%"
"Selective","SIGI","-1.91%","5.12%","9.80%","4.94%","19.61%","96.30%"
"Semtech","SMTC","-1.75%","-1.95%","-1.95%","39.77%","24.48%","177.42%"
"Seneca Foods A","SENEA","0.18%","4.99%","-3.73%","-7.64%","-5.80%","-8.09%"
"ServisFirst Bancshares","SFBS","-1.95%","0.62%","-1.38%","1.86%","16.51%","119.81%"
"Shoe Carnival","SCVL","-0.84%","2.02%","-3.31%","18.88%","74.82%","11.85%"
"Shutterstock","SSTK","5.87%","6.65%","1.38%","17.45%","45.69%","-0.41%"
"Simmons First National","SFNC","-1.64%","0.17%","-0.66%","5.25%","12.25%","-34.29%"
"Simpson Manufacturing","SSD","0.33%","22.78%","14.93%","28.44%","64.16%","108.84%"
"SkyWest","SKYW","-0.25%","-2.15%","11.78%","11.68%","60.92%","243.97%"
"Sleep Number","SL2","1.66%","-1.84%","-3.72%","-20.96%","-9.19%","-5.68%"
"Sonic","SONC","-4.27%","-2.64%","-4.51%","24.75%","40.49%","11.48%"
"Sonic Automotive","SAH","0.25%","9.49%","-3.81%","9.49%","16.76%","-11.48%"
"South Jersey Industries","SJI","-0.27%","0.87%","-3.29%","8.26%","-1.40%","39.65%"
"Southside","SBSI","-1.19%","-0.80%","1.52%","3.15%","1.37%","35.39%"
"SpartanNash Co","SPTN","0.17%","-2.44%","-9.32%","-11.73%","-12.55%","-28.51%"
"Spectrum","SPPI","-1.15%","-3.88%","-5.25%","8.50%","129.46%","190.40%"
"Spire","SR","0.91%","0.21%","-2.57%","-4.32%","-4.26%","33.62%"
"Spok Holdings","SPOK","-0.68%","-1.02%","-5.50%","-6.71%","-15.12%","-11.41%"
"SPS Commerce","SPSC","-0.44%","2.44%","14.79%","80.70%","51.59%","21.59%"
"SPX Corp","SPXC","-0.71%","-0.00%","0.11%","16.25%","35.80%","127.64%"
"SPX FLOW Inc","FLOW","1.98%","0.93%","3.58%","-3.76%","32.87%","-"
"Stage Stores","SSI","-5.58%","-3.33%","-11.35%","20.83%","12.15%","-88.16%"
"Stampscom","STMP","-6.66%","-3.93%","-1.08%","39.07%","23.76%","262.22%"
"Standard Motor Products","SMP","-0.63%","3.99%","-5.56%","6.19%","4.08%","32.95%"
"Standex","SXI","0.44%","0.53%","-0.67%","1.96%","10.54%","42.65%"
"Stein Mart","SMRT","-0.44%","3.23%","4.19%","93.10%","65.93%","-78.63%"
"Stepan","SCL","0.44%","2.24%","13.07%","12.51%","9.85%","83.54%"
"Sterling Bancorp","STL","-2.14%","-3.52%","-7.77%","-10.77%","-4.98%","47.71%"
"Steven Madden","SHOO","-0.18%","4.39%","3.04%","19.70%","35.84%","40.63%"
"Stewart Info Services","STC","-0.53%","-0.27%","2.64%","5.79%","12.32%","10.58%"
"Strayer Education","STRA","-3.01%","2.56%","4.62%","36.88%","49.08%","120.03%"
"Sturm Ruger&Company","RGR","-1.78%","1.94%","-1.95%","-0.98%","4.54%","-11.87%"
"Summit Hotel Properties","INN","-3.24%","0.59%","-6.02%","-9.78%","-16.07%","8.02%"
"SunCoke Energy","SXC","0.00%","-6.39%","-19.35%","-7.17%","30.18%","-8.55%"
"Super Micro Computer","SMCI","-3.23%","-5.41%","-13.58%","0.33%","-22.51%","-24.76%"
"Superior Industries","SUP","-1.33%","8.14%","3.91%","25.25%","3.91%","4.14%"
"Supernus","SUPN","-2.85%","-1.31%","3.03%","32.37%","28.50%","174.45%"
"Supervalu","SVU","0.28%","0.50%","49.63%","49.21%","31.34%","-49.51%"
"SurModics","SRDX","-0.59%","0.08%","1.89%","111.96%","126.96%","126.44%"
"Sykes","SYKE","-0.71%","0.72%","-3.34%","-7.15%","-12.65%","14.92%"
"Synchronoss Tech","SNCR","-1.46%","-24.81%","-37.44%","-54.59%","-75.53%","-91.68%"
"Synergy Resources","SRCI","-1.81%","3.36%","2.24%","33.53%","34.47%","18.40%"
"Tailored Brands","TLRD","1.06%","1.75%","-15.81%","-4.17%","66.03%","-64.23%"
"Take-Two","TTWO","8.98%","0.68%","2.14%","12.42%","40.70%","287.47%"
"Team","TISI","-0.23%","-2.01%","-5.19%","46.98%","66.54%","-51.12%"
"Tennant","TNC","-1.59%","-3.54%","2.09%","10.81%","21.51%","33.54%"
"Tetra Tech","TTEK","-0.98%","8.54%","8.63%","35.93%","58.09%","146.61%"
"Tetra Technologies","TTI","0.46%","5.07%","-3.97%","1.87%","67.95%","-10.86%"
"Texas Capital","TCBI","-1.30%","-0.93%","-0.05%","2.25%","13.55%","53.63%"
"The Andersons","ANDE","0.14%","1.45%","-0.43%","12.04%","2.65%","-4.15%"
"The Childrens Place","PLCE","0.04%","4.65%","3.14%","-14.07%","9.18%","112.70%"
"The Ensign","ENSG","-5.35%","-5.55%","-7.32%","57.88%","74.12%","39.92%"
"The Medicines","MDCO","-1.74%","-1.96%","2.42%","40.86%","5.71%","21.21%"
"The Navigators","NAVG","-1.33%","-0.50%","2.95%","21.97%","4.95%","52.39%"
"The Providence Service","PRSC","-1.68%","2.02%","-12.39%","21.08%","42.59%","55.35%"
"Tidewater","TDW","0.50%","-3.89%","6.60%","31.72%","27.39%","-94.10%"
"Tile Shop","TTS","0.62%","0.00%","-6.32%","-15.10%","-45.67%","-40.86%"
"Timkensteel Corp","TMST","2.26%","-12.38%","-19.25%","-10.53%","-14.53%","-22.61%"
"Titan","TWI","-29.64%","-29.85%","-33.40%","-44.72%","-37.10%","-20.89%"
"Tivity Health","TVTY","3.98%","3.22%","-1.95%","-3.56%","-9.08%","168.06%"
"TiVo","TIVO","-1.72%","-2.97%","-13.91%","-26.60%","-38.11%","6.81%"
"Tompkins","TMP","-1.38%","-1.83%","-3.03%","5.26%","9.92%","57.12%"
"Topbuild Corp","BLD","-0.85%","-1.81%","-8.44%","-3.38%","31.90%","154.98%"
"Tredegar","TG","7.04%","-13.70%","-6.17%","14.84%","30.09%","33.31%"
"Trex","TREX","-1.13%","21.38%","19.20%","44.87%","97.09%","99.19%"
"TrueBlue","TBI","0.74%","-0.55%","-1.08%","-0.55%","26.91%","7.85%"
"TrustCo Bank NY","TRST","-1.09%","-0.55%","0.55%","-1.09%","13.75%","46.30%"
"TTEC","TTEC","-1.99%","0.16%","-10.75%","-20.62%","-22.17%","17.59%"
"TTM","TTMI","-3.65%","7.75%","4.86%","19.72%","40.21%","107.52%"
"Tuesday Morning","TUES","-1.69%","1.75%","3.57%","5.45%","56.76%","-70.50%"
"U S Concrete","USCR","-3.43%","-9.53%","-9.80%","-44.41%","-41.77%","3.86%"
"UMB Financial","UMBF","-0.58%","2.78%","-4.05%","2.86%","5.40%","32.65%"
"Unifi","UFI","0.13%","6.22%","-2.05%","-10.96%","-0.62%","6.57%"
"Unifirst","UNF","-0.66%","1.79%","1.90%","14.10%","31.25%","65.22%"
"Unit","UNT","-0.79%","-2.74%","-8.13%","7.91%","18.29%","49.31%"
"United Bankshares","UBSI","-1.56%","0.93%","1.88%","8.92%","8.45%","-7.59%"
"United Community Banks","UCBI","-1.19%","2.02%","-0.06%","9.59%","11.62%","45.82%"
"United Fire","UFCS","-1.64%","-0.97%","1.66%","25.05%","28.78%","60.79%"
"United Insurances","UIHC","0.76%","4.83%","7.91%","23.30%","33.02%","48.02%"
"Universal","UVV","-0.51%","2.88%","-2.58%","29.33%","13.26%","16.25%"
"Universal Electronics","UEIC","26.26%","27.52%","33.78%","-4.87%","-28.31%","-13.17%"
"Universal Forest","UFPI","0.49%","2.75%","-3.23%","-2.76%","29.26%","-41.56%"
"Universal Health RI","UHT","0.04%","4.43%","1.69%","-9.60%","-10.68%","39.65%"
"Universal Insurance","UVE","-1.32%","6.18%","25.21%","63.44%","84.71%","48.36%"
"Urstadt Biddle Properties","UBA","0.49%","2.15%","-1.72%","2.71%","5.78%","19.03%"
"US Ecology","ECOL","-8.39%","-3.66%","-3.73%","26.37%","24.78%","41.90%"
"US Physicalrapy","USPH","-1.21%","8.25%","15.21%","58.93%","81.85%","113.69%"
"US Silica","SLCA","-2.02%","-5.91%","-3.23%","-22.73%","-9.59%","17.85%"
"Veeco","VECO","-2.32%","-20.27%","-21.89%","-21.89%","-46.91%","-51.69%"
"Vera Bradley","VRA","2.29%","3.16%","-6.42%","10.02%","33.87%","21.71%"
"Veritiv Cor","VRTV","1.70%","6.74%","-3.84%","34.26%","38.57%","6.98%"
"Viad","VVI","-0.88%","-1.57%","-0.44%","2.08%","4.14%","95.07%"
"Viavi Solutions","VIAV","-0.59%","-0.59%","-1.57%","14.87%","-5.10%","59.62%"
"Vicor","VICR","-2.90%","2.00%","30.30%","180.86%","217.30%","445.03%"
"Virtus","VRTS","-0.08%","-1.47%","-2.52%","10.82%","10.10%","3.84%"
"Virtusa","VRTU","-1.91%","-1.58%","3.48%","18.83%","58.06%","6.53%"
"Vitamin Shoppe","VSI","2.37%","10.19%","24.46%","96.59%","-13.93%","-76.95%"
"Wabash National","WNC","-0.05%","-1.41%","-2.59%","-13.23%","-1.05%","37.05%"
"WageWorks","WAGE","-2.94%","-2.76%","0.38%","-14.76%","-10.65%","7.27%"
"Walker&Dunlop","WD","-3.17%","-7.24%","-8.10%","12.48%","8.40%","129.71%"
"Watts Water Technologies","WTS","0.17%","3.28%","6.13%","13.89%","30.66%","57.90%"
"WD-40","WDFC","0.90%","1.44%","7.13%","37.54%","54.87%","78.69%"
"Westamerica Bancorporation","WABC","-0.38%","1.15%","4.58%","2.28%","12.24%","23.42%"
"Winnebago Industries","WGO","3.72%","5.48%","-0.86%","-27.34%","12.69%","80.20%"
"Wintrust","WTFC","-0.48%","1.02%","1.17%","8.04%","18.10%","64.46%"
"Wolverine","WWW","-1.56%","2.08%","4.03%","12.64%","29.45%","27.03%"
"World Acceptance","WRLD","-1.14%","3.54%","-7.37%","29.46%","35.94%","103.19%"
"WWE","WWE","-0.33%","-3.93%","4.21%","156.83%","274.18%","241.33%"
"XO","XOXO","-2.81%","-11.92%","-14.24%","53.68%","53.43%","85.67%"
"Xperi","XPER","0.62%","2.51%","1.55%","-32.99%","-39.44%","-55.39%"
"Zumiez","ZUMZ","0.64%","8.55%","-3.29%","12.87%","82.88%","-7.70%"
