"Name","Symbol","Hourly","Daily","Weekly","Monthly"
"National Presto Industries","NPK","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Natus","BABY","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Nautilus","NLS","Strong Buy","Strong Sell","Strong Sell","Sell"
"Navigant","NCI","Neutral","Strong Buy","Strong Buy","Strong Buy"
"NBT Bancorp","NBTB","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Neenah Paper","NP","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Nektar","NKTR","Strong Buy","Buy","Sell","Buy"
"Neogen","NEOG","Strong Sell","Neutral","Strong Buy","Strong Buy"
"NETGEAR","NTGR","Buy","Sell","Buy","Strong Buy"
"Newpark Resources","NR","Strong Sell","Neutral","Buy","Strong Buy"
"NIC","EGOV","Strong Sell","Sell","Neutral","Neutral"
"Northern Oil&Gas","NOG","Strong Buy","Strong Buy","Strong Buy","Buy"
"Northfield Bancorp","NFBK","Strong Sell","Strong Sell","Sell","Neutral"
"Northwest Bancshares","NWBI","Strong Sell","Buy","Strong Buy","Strong Buy"
"Northwest Natural Gas","NWN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"NutriSystem","NTRI","Strong Buy","Strong Buy","Strong Buy","Buy"
"OFG Bancorp","OFG","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Old National Bancorp","ONB","Strong Sell","Buy","Strong Buy","Strong Buy"
"Ollies Bargain Outlet Holdings Inc","OLLI","Sell","Strong Sell","Buy","Strong Buy"
"Olympic Steel","ZEUS","Strong Buy","Neutral","Neutral","Strong Buy"
"Omnicell","OMCL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Onespan","OSPN","Strong Sell","Strong Sell","Sell","Strong Buy"
"Opus Bank","OPB","Strong Sell","Sell","Strong Sell","Buy"
"Orion Group","ORN","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Oritani","ORIT","Strong Sell","Strong Sell","Sell","Neutral"
"OSI Systems","OSIS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Oxford Industries","OXM","Strong Sell","Buy","Strong Buy","Strong Buy"
"Papa John's","PZZA","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Park Electrochemical","PKE","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Patrick","PATK","Strong Buy","Strong Buy","Neutral","Buy"
"PDC Energy","PDCE","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Pennsylvania RE","PEI","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Perficient","PRFT","Neutral","Sell","Strong Buy","Strong Buy"
"Perry Ellis","PERY","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"PetMed Express","PETS","Strong Buy","Neutral","Sell","Neutral"
"PGT Innovations","PGTI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Phibro","PAHC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Pinnacle","PNFP","Neutral","Buy","Sell","Neutral"
"Pioneer Energy Services","PES","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Piper Jaffray","PJC","Strong Sell","Strong Sell","Neutral","Buy"
"Plexus","PLXS","Strong Buy","Neutral","Buy","Strong Buy"
"Powell Industries","POWL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Power Integrations","POWI","Strong Sell","Strong Sell","Sell","Neutral"
"PRA Group Inc","PRAA","Strong Sell","Strong Sell","Sell","Strong Buy"
"ProAssurance","PRA","Strong Buy","Strong Buy","Neutral","Strong Sell"
"Progress","PRGS","Neutral","Strong Sell","Strong Sell","Neutral"
"Proto Labs","PRLB","Buy","Strong Sell","Buy","Strong Buy"
"Provident","PFS","Strong Sell","Strong Sell","Strong Sell","Neutral"
"PS Business Parks","PSB","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Quaker Chemical","KWR","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Quality Systems","QSII","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Qualys","QLYS","Sell","Strong Sell","Strong Buy","Strong Buy"
"Quanex Building Products","NX","Sell","Strong Sell","Strong Sell","Strong Sell"
"QuinStreet","QNST","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Quorum Health","QHC","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Rambus","RMBS","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Raven","RAVN","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Rayonier Advanced Materials","RYAM","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Re Max Holding","RMAX","Neutral","Strong Sell","Strong Sell","Sell"
"Red Robin Gourmet Burgers","RRGB","Sell","Strong Sell","Strong Sell","Strong Sell"
"Regis","RGS","Buy","Strong Buy","Strong Buy","Strong Buy"
"Rent-A-Center","RCII","Strong Buy","Strong Buy","Strong Buy","Buy"
"Repligen","RGEN","Neutral","Neutral","Strong Buy","Strong Buy"
"Resources Connection","RECN","Strong Buy","Strong Buy","Buy","Strong Buy"
"Retail Opportunity","ROIC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"REX American Resources","REX","Strong Buy","Strong Buy","Buy","Sell"
"RLI","RLI","Sell","Strong Buy","Strong Buy","Strong Buy"
"Roadrunner","RRTS","Sell","Strong Sell","Strong Sell","Strong Sell"
"Rogers","ROG","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"RR Donnelley & Sons","RRD","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Rudolph","RTEC","Sell","Strong Sell","Sell","Buy"
"Ruth's Hospitality","RUTH","Sell","Sell","Strong Buy","Strong Buy"
"S&T Bancorp","STBA","Strong Sell","Sell","Strong Buy","Strong Buy"
"Sabra","SBRA","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Safety Insurance","SAFT","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Saia","SAIA","Neutral","Buy","Neutral","Strong Buy"
"Sanderson Farms","SAFM","Strong Buy","Strong Buy","Strong Sell","Sell"
"Sanmina","SANM","Sell","Strong Sell","Strong Sell","Neutral"
"Saul Centers","BFS","Strong Buy","Strong Buy","Neutral","Sell"
"ScanSource","SCSC","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Scholastic","SCHL","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Schweitzer-Mauduit","SWM","Strong Sell","Strong Sell","Buy","Buy"
"Scientific Games","SGMS","Strong Sell","Strong Sell","Strong Sell","Neutral"
"SEACOR","CKH","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Select Medical","SEM","Sell","Buy","Strong Buy","Strong Buy"
"Selective","SIGI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Semtech","SMTC","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Seneca Foods A","SENEA","Strong Buy","Strong Buy","Neutral","Strong Sell"
"ServisFirst Bancshares","SFBS","Strong Sell","Neutral","Sell","Strong Buy"
"Shoe Carnival","SCVL","Neutral","Neutral","Strong Buy","Strong Buy"
"Shutterstock","SSTK","Strong Buy","Buy","Strong Buy","Strong Buy"
"Simmons First National","SFNC","Strong Sell","Strong Sell","Sell","Strong Buy"
"Simpson Manufacturing","SSD","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"SkyWest","SKYW","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Sleep Number","SL2","Strong Sell","Strong Sell","Strong Sell","Neutral"
"Sonic","SONC","Strong Sell","Sell","Strong Buy","Strong Buy"
"Sonic Automotive","SAH","Strong Buy","Buy","Sell","Buy"
"South Jersey Industries","SJI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Southside","SBSI","Strong Sell","Neutral","Strong Buy","Strong Buy"
"SpartanNash Co","SPTN","Neutral","Strong Sell","Neutral","Neutral"
"Spectrum","SPPI","Strong Sell","Strong Sell","Buy","Strong Buy"
"Spire","SR","Strong Buy","Strong Buy","Buy","Strong Buy"
"Spok Holdings","SPOK","Neutral","Sell","Strong Sell","Strong Sell"
"SPS Commerce","SPSC","Buy","Strong Buy","Strong Buy","Strong Buy"
"SPX Corp","SPXC","Strong Sell","Buy","Strong Buy","Strong Buy"
"SPX FLOW Inc","FLOW","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Stage Stores","SSI","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Stampscom","STMP","Strong Sell","Sell","Strong Buy","Strong Buy"
"Standard Motor Products","SMP","Neutral","Buy","Buy","Strong Buy"
"Standex","SXI","Strong Buy","Buy","Strong Buy","Strong Buy"
"Stein Mart","SMRT","Sell","Neutral","Sell","Neutral"
"Stepan","SCL","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Sterling Bancorp","STL","Strong Sell","Strong Sell","Strong Sell","Sell"
"Steven Madden","SHOO","Buy","Strong Buy","Strong Buy","Strong Buy"
"Stewart Info Services","STC","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"Strayer Education","STRA","Sell","Strong Buy","Strong Buy","Strong Buy"
"Sturm Ruger&Company","RGR","Sell","Sell","Strong Sell","Neutral"
"Summit Hotel Properties","INN","Strong Sell","Strong Sell","Strong Sell","Sell"
"SunCoke Energy","SXC","Buy","Strong Sell","Strong Sell","Sell"
"Super Micro Computer","SMCI","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Superior Industries","SUP","Neutral","Strong Buy","Strong Buy","Neutral"
"Supernus","SUPN","Strong Sell","Sell","Buy","Strong Buy"
"Supervalu","SVU","Strong Buy","Strong Buy","Strong Buy","Neutral"
"SurModics","SRDX","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Sykes","SYKE","Sell","Strong Sell","Neutral","Neutral"
"Synchronoss Tech","SNCR","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Synergy Resources","SRCI","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Tailored Brands","TLRD","Strong Buy","Strong Sell","Strong Sell","Strong Sell"
"Take-Two","TTWO","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Team","TISI","Strong Sell","Neutral","Neutral","Buy"
"Tennant","TNC","Neutral","Buy","Strong Buy","Strong Buy"
"Tetra Tech","TTEK","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Tetra Technologies","TTI","Strong Buy","Neutral","Neutral","Buy"
"Texas Capital","TCBI","Strong Sell","Strong Sell","Neutral","Strong Buy"
"The Andersons","ANDE","Strong Buy","Neutral","Strong Buy","Buy"
"The Childrens Place","PLCE","Strong Buy","Buy","Neutral","Neutral"
"The Ensign","ENSG","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"The Medicines","MDCO","Strong Sell","Neutral","Strong Buy","Strong Buy"
"The Navigators","NAVG","Strong Sell","Buy","Strong Buy","Strong Buy"
"The Providence Service","PRSC","Neutral","Sell","Sell","Strong Buy"
"Tidewater","TDW","Sell","Neutral","Strong Buy","Neutral"
"Tile Shop","TTS","Neutral","Sell","Neutral","Strong Sell"
"Timkensteel Corp","TMST","Neutral","Strong Sell","Strong Sell","Strong Sell"
"Titan","TWI","Sell","Strong Sell","Strong Sell","Strong Sell"
"Tivity Health","TVTY","Strong Buy","Neutral","Neutral","Neutral"
"TiVo","TIVO","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Tompkins","TMP","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Topbuild Corp","BLD","Strong Sell","Strong Sell","Sell","Strong Buy"
"Tredegar","TG","Strong Sell","Strong Sell","Buy","Strong Buy"
"Trex","TREX","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"TrueBlue","TBI","Neutral","Neutral","Strong Buy","Strong Buy"
"TrustCo Bank NY","TRST","Strong Sell","Buy","Strong Buy","Strong Buy"
"TTEC","TTEC","Strong Sell","Strong Sell","Strong Sell","Sell"
"TTM","TTMI","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Tuesday Morning","TUES","Strong Sell","Neutral","Sell","Neutral"
"U S Concrete","USCR","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"UMB Financial","UMBF","Neutral","Strong Sell","Strong Sell","Neutral"
"Unifi","UFI","Strong Buy","Strong Buy","Neutral","Neutral"
"Unifirst","UNF","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Unit","UNT","Strong Sell","Strong Sell","Buy","Neutral"
"United Bankshares","UBSI","Sell","Strong Buy","Strong Buy","Buy"
"United Community Banks","UCBI","Sell","Neutral","Neutral","Strong Buy"
"United Fire","UFCS","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"United Insurances","UIHC","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Universal","UVV","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Universal Electronics","UEIC","Strong Buy","Strong Buy","Neutral","Neutral"
"Universal Forest","UFPI","Strong Buy","Buy","Buy","Strong Buy"
"Universal Health RI","UHT","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Universal Insurance","UVE","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Urstadt Biddle Properties","UBA","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"US Ecology","ECOL","Strong Sell","Neutral","Strong Buy","Strong Buy"
"US Physicalrapy","USPH","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"US Silica","SLCA","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Veeco","VECO","Strong Sell","Strong Sell","Strong Sell","Strong Sell"
"Vera Bradley","VRA","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Veritiv Cor","VRTV","Strong Buy","Strong Buy","Buy","Buy"
"Viad","VVI","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Viavi Solutions","VIAV","Strong Sell","Strong Sell","Strong Buy","Strong Buy"
"Vicor","VICR","Sell","Strong Buy","Strong Buy","Strong Buy"
"Virtus","VRTS","Sell","Strong Sell","Buy","Strong Buy"
"Virtusa","VRTU","Strong Sell","Sell","Strong Buy","Strong Buy"
"Vitamin Shoppe","VSI","Strong Buy","Strong Buy","Strong Buy","Neutral"
"Wabash National","WNC","Strong Sell","Strong Sell","Strong Sell","Neutral"
"WageWorks","WAGE","Strong Sell","Buy","Neutral","Sell"
"Walker&Dunlop","WD","Strong Sell","Strong Sell","Sell","Strong Buy"
"Watts Water Technologies","WTS","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"WD-40","WDFC","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Westamerica Bancorporation","WABC","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Winnebago Industries","WGO","Strong Buy","Buy","Neutral","Buy"
"Wintrust","WTFC","Neutral","Sell","Neutral","Strong Buy"
"Wolverine","WWW","Neutral","Buy","Strong Buy","Strong Buy"
"World Acceptance","WRLD","Neutral","Strong Sell","Neutral","Strong Buy"
"WWE","WWE","Buy","Neutral","Strong Buy","Strong Buy"
"XO","XOXO","Strong Sell","Strong Sell","Neutral","Strong Buy"
"Xperi","XPER","Strong Buy","Sell","Strong Sell","Strong Sell"
"Zumiez","ZUMZ","Strong Buy","Strong Buy","Neutral","Strong Buy"
